k0,Delta,k4,K,target_n41,sweeps,seed,N4,N41,n0n4,d_H,blob,active,slicecorr,maxfrac,cos3err,pin,valid,foliation,wall_s
1.0,0.2,0.9,80,10000,400,0,13702,9890,0.119,2.361,6.779,6,-0.075,0.0847,0.842,-0.22,True,CLEAN,606
1.0,0.4,0.9,80,10000,400,0,14264,9870,0.1249,2.411,4.02,12,0.199,0.0503,0.754,-0.26,True,CLEAN,615
1.0,0.6,0.9,80,10000,400,0,14574,9860,0.1252,2.322,3.148,20,0.022,0.0394,0.734,-0.28,True,CLEAN,629
1.0,0.8,0.9,80,10000,400,0,14462,9842,0.1283,2.294,2.877,21,0.054,0.036,0.693,-0.316,True,CLEAN,630
1.5,0.2,0.9,80,10000,400,0,13914,9908,0.124,2.071,6.363,10,0.093,0.0795,0.766,-0.184,True,CLEAN,668
1.5,0.8,0.9,80,10000,400,0,14476,9888,0.1297,2.236,2.799,22,0.101,0.035,0.824,-0.224,True,CLEAN,702
1.5,0.6,0.9,80,10000,400,0,14772,9934,0.1258,2.391,3.221,18,0.265,0.0403,0.745,-0.132,True,CLEAN,703
1.5,0.4,0.9,80,10000,400,0,14654,9918,0.1243,2.358,4.162,11,0.269,0.052,0.795,-0.164,True,CLEAN,738
2.0,0.2,0.9,80,10000,400,0,14630,9958,0.1228,1.84,3.133,18,-0.001,0.0392,0.725,-0.084,True,CLEAN,673
2.0,0.4,0.9,80,10000,400,0,14576,9954,0.1261,2.335,3.424,17,-0.031,0.0428,0.749,-0.092,True,CLEAN,683
2.0,0.6,0.9,80,10000,400,0,14332,9916,0.131,2.334,3.405,15,-0.036,0.0426,0.754,-0.168,True,CLEAN,691
2.0,0.8,0.9,80,10000,400,0,14872,9944,0.1272,2.407,3.556,16,0.25,0.0444,0.751,-0.112,True,CLEAN,768
2.5,0.2,0.9,80,10000,400,0,14536,9940,0.1245,1.487,3.107,18,0.164,0.0388,0.729,-0.12,True,CLEAN,649
2.5,0.4,0.9,80,10000,400,0,14732,9962,0.1263,1.859,3.485,12,-0.01,0.0436,0.756,-0.076,True,CLEAN,647
2.5,0.6,0.9,80,10000,400,0,14938,9982,0.1259,2.292,3.815,16,0.291,0.0477,0.851,-0.036,True,CLEAN,656
2.5,0.8,0.9,80,10000,400,0,15012,9936,0.1264,2.384,2.738,22,-0.187,0.0342,0.711,-0.128,True,CLEAN,743
3.0,0.2,0.9,80,10000,400,0,14616,10012,0.1262,2.346,3.1,19,-0.081,0.0388,0.736,0.024,True,CLEAN,587
3.0,0.4,0.9,80,10000,400,0,14990,10040,0.126,1.497,2.55,20,0.092,0.0319,0.741,0.08,True,CLEAN,585
3.0,0.6,0.9,80,10000,400,0,14872,9992,0.1276,2.326,2.834,21,-0.106,0.0354,0.719,-0.016,True,CLEAN,590
3.0,0.8,0.9,80,10000,400,0,14646,9974,0.1297,2.377,3.93,13,0.124,0.0491,0.761,-0.052,True,CLEAN,653
3.5,0.2,0.9,80,10000,400,0,15000,10042,0.1245,2.292,3.314,18,0.008,0.0414,0.747,0.084,True,CLEAN,586
3.5,0.4,0.9,80,10000,400,0,14608,10078,0.1293,1.565,3.112,17,-0.126,0.0389,0.745,0.156,True,CLEAN,583
3.5,0.6,0.9,80,10000,400,0,14944,10046,0.1279,1.697,4.905,6,0.184,0.0613,0.794,0.092,True,CLEAN,598
3.5,0.8,0.9,80,10000,400,0,14852,10052,0.129,2.309,3.534,12,0.227,0.0442,0.753,0.104,True,CLEAN,670
