sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
202,fail,1,400.0,100,1.68587,0.07,5.30458,4.0
202,fail,2,712.0,100,1.75457,0.08708,5.64232,7.12
202,fail,3,1187.0,100,1.72356,0.07666,5.57751,11.87
202,virtual,1,200.0,50,1.81647,0.11,5.315,4.0
202,virtual,2,383.0,50,1.64652,0.05222,5.5866,7.66
202,virtual,3,588.0,50,1.6819,0.06463,5.68537,11.76
204,fail,1,400.0,100,1.6782,0.0675,5.3475,4.0
204,fail,2,726.0,100,1.75266,0.08678,5.61961,7.26
204,fail,3,1198.0,100,1.7327,0.0793,5.57304,11.98
204,virtual,1,200.0,50,1.69996,0.07,5.38417,4.0
204,virtual,2,364.0,50,1.7343,0.08242,5.65614,7.28
204,virtual,3,561.0,50,1.6921,0.06417,5.77005,11.22
206,fail,1,400.0,100,1.60423,0.045,5.32,4.0
206,fail,2,728.0,100,1.75531,0.08654,5.61584,7.28
206,fail,3,1192.0,100,1.69598,0.06879,5.57564,11.92
206,virtual,1,200.0,50,1.72617,0.08,5.30667,4.0
206,virtual,2,370.0,50,1.7782,0.09459,5.58243,7.4
206,virtual,3,547.0,50,1.67069,0.06033,5.78763,10.94
208,fail,1,400.0,100,1.61125,0.0475,5.33125,4.0
208,fail,2,725.0,100,1.73005,0.07586,5.61885,7.25
208,fail,3,1181.0,100,1.64821,0.05165,5.57042,11.81
208,virtual,1,200.0,50,1.72518,0.08,5.33583,4.0
208,virtual,2,378.0,50,1.7618,0.09259,5.6067,7.56
208,virtual,3,575.0,50,1.72575,0.07478,5.68377,11.5
210,fail,1,400.0,100,1.59184,0.04,5.34667,4.0
210,fail,2,720.0,100,1.6909,0.06806,5.6419,7.2
210,fail,3,1196.0,100,1.73242,0.0811,5.55909,11.96
210,virtual,1,200.0,50,1.65771,0.06,5.40083,4.0
210,virtual,2,349.0,50,1.74742,0.08309,5.75836,6.98
210,virtual,3,541.0,50,1.70468,0.07209,5.809,10.82
212,fail,1,400.0,100,1.66745,0.07,5.32125,4.0
212,fail,2,715.0,100,1.73507,0.07972,5.62331,7.15
212,fail,3,1178.0,100,1.7397,0.08404,5.59267,11.78
212,virtual,1,200.0,50,1.69747,0.07,5.245,4.0
212,virtual,2,384.0,50,1.72177,0.07552,5.54167,7.68
212,virtual,3,532.0,50,1.75588,0.08459,5.79229,10.64
214,fail,1,400.0,100,1.73122,0.0825,5.32333,4.0
214,fail,2,719.0,100,1.74552,0.08345,5.63491,7.19
214,fail,3,1191.0,100,1.76077,0.08984,5.58158,11.91
214,virtual,1,200.0,50,1.69213,0.065,5.35833,4.0
214,virtual,2,351.0,50,1.71341,0.07407,5.60636,7.02
214,virtual,3,565.0,50,1.77271,0.09381,5.63245,11.3
216,fail,1,400.0,100,1.66569,0.065,5.30125,4.0
216,fail,2,718.0,100,1.71376,0.07242,5.62326,7.18
216,fail,3,1172.0,100,1.72722,0.07935,5.594,11.72
216,virtual,1,200.0,50,1.74572,0.09,5.43167,4.0
216,virtual,2,373.0,50,1.68057,0.06166,5.58222,7.46
216,virtual,3,545.0,50,1.72568,0.0789,5.71376,10.9
218,fail,1,400.0,100,1.66078,0.0625,5.30167,4.0
218,fail,2,708.0,100,1.73823,0.08192,5.63583,7.08
218,fail,3,1171.0,100,1.71221,0.0743,5.58412,11.71
218,virtual,1,200.0,50,1.69992,0.075,5.52583,4.0
218,virtual,2,368.0,50,1.72517,0.07609,5.72237,7.36
218,virtual,3,597.0,50,1.70851,0.0737,5.70045,11.94
220,fail,1,400.0,100,1.63367,0.0525,5.29,4.0
220,fail,2,705.0,100,1.70332,0.0695,5.62908,7.05
220,fail,3,1165.0,100,1.73272,0.07983,5.59013,11.65
220,virtual,1,200.0,50,1.77383,0.1,5.30167,4.0
220,virtual,2,379.0,50,1.71909,0.07916,5.51407,7.58
220,virtual,3,558.0,50,1.72217,0.07706,5.66099,11.16
222,fail,1,400.0,100,1.63981,0.0575,5.2975,4.0
222,fail,2,704.0,100,1.72599,0.0767,5.6456,7.04
222,fail,3,1168.0,100,1.74491,0.08476,5.60231,11.68
222,virtual,1,200.0,50,1.81846,0.11,5.37083,4.0
222,virtual,2,365.0,50,1.71791,0.07671,5.60776,7.3
222,virtual,3,596.0,50,1.71983,0.07886,5.7061,11.92
224,fail,1,400.0,100,1.63609,0.055,5.30208,4.0
224,fail,2,704.0,100,1.80323,0.10227,5.64583,7.04
224,fail,3,1172.0,100,1.76259,0.0913,5.60637,11.72
224,virtual,1,200.0,50,1.69601,0.06,5.4825,4.0
224,virtual,2,354.0,50,1.68938,0.06497,5.59605,7.08
224,virtual,3,560.0,50,1.70056,0.06964,5.74911,11.2
226,fail,1,400.0,100,1.66088,0.0625,5.3175,4.0
226,fail,2,712.0,100,1.75177,0.08427,5.63436,7.12
226,fail,3,1172.0,100,1.74478,0.08618,5.61049,11.72
226,virtual,1,200.0,50,1.70958,0.075,5.395,4.0
226,virtual,2,367.0,50,1.75282,0.08447,5.63261,7.34
226,virtual,3,537.0,50,1.7368,0.0838,5.78305,10.74
228,fail,1,400.0,100,1.71511,0.0825,5.30083,4.0
228,fail,2,711.0,100,1.81167,0.10689,5.62494,7.11
228,fail,3,1172.0,100,1.75802,0.08959,5.61547,11.72
228,virtual,1,200.0,50,1.66123,0.055,5.41083,4.0
228,virtual,2,330.0,50,1.71291,0.07273,5.88485,6.6
228,virtual,3,576.0,50,1.72281,0.07639,5.81047,11.52
230,fail,1,400.0,100,1.69433,0.0775,5.29292,4.0
230,fail,2,714.0,100,1.71751,0.07423,5.60784,7.14
230,fail,3,1165.0,100,1.73151,0.07811,5.61974,11.65
230,virtual,1,200.0,50,1.76421,0.095,5.45333,4.0
230,virtual,2,350.0,50,1.69485,0.06857,5.80095,7.0
230,virtual,3,560.0,50,1.74384,0.08393,5.75982,11.2
232,fail,1,400.0,100,1.65819,0.0625,5.27875,4.0
232,fail,2,712.0,100,1.73118,0.07725,5.63272,7.12
232,fail,3,1160.0,100,1.70681,0.06983,5.6227,11.6
232,virtual,1,200.0,50,1.66372,0.055,5.35583,4.0
232,virtual,2,363.0,50,1.73733,0.08264,5.72314,7.26
232,virtual,3,532.0,50,1.72959,0.08459,5.84179,10.64
234,fail,1,400.0,100,1.69141,0.075,5.28125,4.0
234,fail,2,706.0,100,1.71787,0.07365,5.63692,7.06
234,fail,3,1158.0,100,1.76222,0.0924,5.61269,11.58
234,virtual,1,200.0,50,1.65834,0.055,5.42083,4.0
234,virtual,2,359.0,50,1.75964,0.08914,5.58357,7.18
234,virtual,3,542.0,50,1.71869,0.07749,5.69219,10.84
236,fail,1,400.0,100,1.61553,0.0475,5.28042,4.0
236,fail,2,704.0,100,1.74516,0.08239,5.64678,7.04
236,fail,3,1157.0,100,1.73799,0.08384,5.61409,11.57
236,virtual,1,200.0,50,1.79065,0.1,5.43417,4.0
236,virtual,2,393.0,50,1.70889,0.07379,5.49534,7.86
236,virtual,3,563.0,50,1.7178,0.07638,5.70604,11.26
238,fail,1,400.0,100,1.70135,0.0775,5.29417,4.0
238,fail,2,709.0,100,1.75452,0.08886,5.62953,7.09
238,fail,3,1172.0,100,1.70765,0.07423,5.58916,11.72
238,virtual,1,200.0,50,1.69737,0.07,5.30333,4.0
238,virtual,2,349.0,50,1.69651,0.06304,5.649,6.98
238,virtual,3,526.0,50,1.74259,0.08175,5.80165,10.52
240,fail,1,400.0,100,1.66098,0.0625,5.27917,4.0
240,fail,2,704.0,100,1.74573,0.08239,5.63589,7.04
240,fail,3,1168.0,100,1.78446,0.09675,5.60131,11.68
240,virtual,1,200.0,50,1.72836,0.08,5.4075,4.0
240,virtual,2,368.0,50,1.7293,0.08152,5.65172,7.36
240,virtual,3,541.0,50,1.71914,0.07579,5.79791,10.82
242,fail,1,400.0,100,1.6485,0.06,5.29542,4.0
242,fail,2,717.0,100,1.72948,0.0795,5.60298,7.17
242,fail,3,1172.0,100,1.72963,0.08191,5.58945,11.72
242,virtual,1,200.0,50,1.90153,0.135,5.36083,4.0
242,virtual,2,372.0,50,1.76134,0.08333,5.59543,7.44
242,virtual,3,566.0,50,1.72123,0.07951,5.71761,11.32
244,fail,1,400.0,100,1.63931,0.0575,5.28708,4.0
244,fail,2,707.0,100,1.75407,0.08628,5.62918,7.07
244,fail,3,1174.0,100,1.7557,0.08944,5.58532,11.74
244,virtual,1,200.0,50,1.62884,0.045,5.38583,4.0
244,virtual,2,347.0,50,1.73393,0.08069,5.75793,6.94
244,virtual,3,551.0,50,1.65939,0.05445,5.69117,11.02
246,fail,1,400.0,100,1.71161,0.075,5.28,4.0
