sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
202,closed,1,400.0,100,1.67749,0.0625,5.37542,4.0
202,closed,2,731.0,100,1.69767,0.0684,5.63999,7.31
202,closed,3,1119.0,100,1.7686,0.09115,5.72133,11.19
202,virtual,1,200.0,50,1.71615,0.075,5.1675,4.0
202,virtual,2,377.0,50,1.68918,0.06366,5.51945,7.54
202,virtual,3,560.0,50,1.74117,0.08571,5.72024,11.2
204,closed,1,400.0,100,1.69422,0.0725,5.39833,4.0
204,closed,2,733.0,100,1.74678,0.08322,5.65575,7.33
204,closed,3,1127.0,100,1.72401,0.0772,5.70837,11.27
204,virtual,1,200.0,50,1.71894,0.07,5.16833,4.0
204,virtual,2,369.0,50,1.66933,0.05962,5.5411,7.38
204,virtual,3,516.0,50,1.67777,0.06202,5.75549,10.32
206,closed,1,400.0,100,1.68921,0.07,5.38542,4.0
206,closed,2,732.0,100,1.73066,0.0806,5.64208,7.32
206,closed,3,1122.0,100,1.70605,0.07219,5.7142,11.22
206,virtual,1,200.0,50,1.71446,0.075,5.24333,4.0
206,virtual,2,356.0,50,1.75678,0.0927,5.41105,7.12
206,virtual,3,518.0,50,1.72106,0.07529,5.639,10.36
208,closed,1,400.0,100,1.73772,0.08,5.39542,4.0
208,closed,2,735.0,100,1.6901,0.06531,5.64014,7.35
208,closed,3,1127.0,100,1.78838,0.09938,5.71133,11.27
208,virtual,1,200.0,50,1.7364,0.085,5.37833,4.0
208,virtual,2,382.0,50,1.68916,0.06545,5.58202,7.64
208,virtual,3,552.0,50,1.7374,0.08152,5.67059,11.04
210,closed,1,400.0,100,1.68117,0.065,5.37917,4.0
210,closed,2,736.0,100,1.69796,0.06793,5.63836,7.36
210,closed,3,1122.0,100,1.73155,0.07932,5.71925,11.22
210,virtual,1,200.0,50,1.6449,0.055,5.37,4.0
210,virtual,2,377.0,50,1.76152,0.08488,5.54819,7.54
210,virtual,3,586.0,50,1.75218,0.08703,5.60637,11.72
212,closed,1,400.0,100,1.75148,0.085,5.38833,4.0
212,closed,2,745.0,100,1.67642,0.06443,5.61857,7.45
212,closed,3,1116.0,100,1.70888,0.07348,5.73686,11.16
212,virtual,1,200.0,50,1.68745,0.065,5.19667,4.0
212,virtual,2,357.0,50,1.68307,0.06162,5.60644,7.14
212,virtual,3,519.0,50,1.64326,0.04817,5.76622,10.38
214,closed,1,400.0,100,1.66958,0.065,5.40375,4.0
214,closed,2,734.0,100,1.72014,0.07629,5.6451,7.34
214,closed,3,1145.0,100,1.69432,0.06812,5.70306,11.45
214,virtual,1,200.0,50,1.80336,0.105,5.25917,4.0
214,virtual,2,339.0,50,1.72049,0.0767,5.65634,6.78
214,virtual,3,534.0,50,1.74444,0.08427,5.7294,10.68
216,closed,1,400.0,100,1.69413,0.07,5.40208,4.0
216,closed,2,745.0,100,1.76993,0.09396,5.62058,7.45
216,closed,3,1136.0,100,1.73155,0.08099,5.72697,11.36
216,virtual,1,200.0,50,1.72312,0.075,5.22917,4.0
216,virtual,2,368.0,50,1.72867,0.0788,5.4769,7.36
216,virtual,3,564.0,50,1.6895,0.06738,5.60254,11.28
218,closed,1,400.0,100,1.75148,0.085,5.40625,4.0
218,closed,2,754.0,100,1.69098,0.06764,5.59925,7.54
218,closed,3,1133.0,100,1.70533,0.07237,5.71006,11.33
218,virtual,1,200.0,50,1.88265,0.13,5.25083,4.0
218,virtual,2,353.0,50,1.6793,0.06232,5.54627,7.06
218,virtual,3,534.0,50,1.7441,0.08427,5.71317,10.68
220,closed,1,400.0,100,1.76133,0.0925,5.39417,4.0
220,closed,2,751.0,100,1.69998,0.06658,5.59143,7.51
220,closed,3,1136.0,100,1.74047,0.08451,5.71464,11.36
220,virtual,1,200.0,50,1.65665,0.055,5.21333,4.0
220,virtual,2,357.0,50,1.66028,0.05882,5.5775,7.14
220,virtual,3,555.0,50,1.65908,0.05586,5.67688,11.1
222,closed,1,400.0,100,1.74404,0.0875,5.41042,4.0
222,closed,2,738.0,100,1.6671,0.05962,5.61495,7.38
222,closed,3,1128.0,100,1.74577,0.08245,5.71188,11.28
222,virtual,1,200.0,50,1.66418,0.06,5.06417,4.0
222,virtual,2,338.0,50,1.72735,0.07692,5.55375,6.76
222,virtual,3,497.0,50,1.72038,0.07847,5.78672,9.94
224,closed,1,400.0,100,1.71456,0.075,5.40875,4.0
