sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
202,fail,1,400.0,100,1.67538,0.0675,5.40292,4.0
202,fail,2,737.0,100,1.74553,0.08277,5.65061,7.37
202,fail,3,1110.0,100,1.72495,0.07568,5.72222,11.1
202,virtual,1,200.0,50,1.72518,0.08,5.30833,4.0
202,virtual,2,343.0,50,1.74408,0.07872,5.61176,6.86
202,virtual,3,486.0,50,1.7299,0.08025,5.79115,9.72
204,fail,1,400.0,100,1.75126,0.095,5.40833,4.0
204,fail,2,735.0,100,1.73207,0.07891,5.66803,7.35
204,fail,3,1119.0,100,1.71465,0.07507,5.71388,11.19
204,virtual,1,200.0,50,1.65897,0.065,5.27583,4.0
204,virtual,2,369.0,50,1.75879,0.09485,5.4991,7.38
204,virtual,3,542.0,50,1.79126,0.09594,5.63315,10.84
206,fail,1,400.0,100,1.6866,0.0675,5.40542,4.0
206,fail,2,738.0,100,1.72718,0.07724,5.62285,7.38
206,fail,3,1085.0,100,1.68928,0.06636,5.73963,10.85
206,virtual,1,200.0,50,1.77937,0.09,5.265,4.0
206,virtual,2,350.0,50,1.81259,0.09714,5.5181,7.0
206,virtual,3,523.0,50,1.71185,0.07075,5.62333,10.46
208,fail,1,400.0,100,1.66788,0.065,5.41625,4.0
208,fail,2,731.0,100,1.75807,0.08755,5.64569,7.31
208,fail,3,1102.0,100,1.68528,0.06534,5.73246,11.02
208,virtual,1,200.0,50,1.77277,0.095,5.345,4.0
208,virtual,2,374.0,50,1.76981,0.09626,5.56506,7.48
208,virtual,3,575.0,50,1.74667,0.08522,5.65797,11.5
210,fail,1,400.0,100,1.64185,0.0575,5.40625,4.0
210,fail,2,734.0,100,1.73683,0.07902,5.63011,7.34
210,fail,3,1079.0,100,1.7488,0.08619,5.75456,10.79
210,virtual,1,200.0,50,1.71456,0.075,5.32583,4.0
210,virtual,2,367.0,50,1.72034,0.07357,5.62171,7.34
210,virtual,3,540.0,50,1.66865,0.05556,5.68056,10.8
212,fail,1,400.0,100,1.72385,0.085,5.40208,4.0
212,fail,2,735.0,100,1.68634,0.06259,5.64036,7.35
212,fail,3,1101.0,100,1.72054,0.07902,5.7254,11.01
212,virtual,1,200.0,50,1.79055,0.095,5.28417,4.0
212,virtual,2,355.0,50,1.73069,0.07606,5.54695,7.1
212,virtual,3,581.0,50,1.75054,0.08262,5.62421,11.62
214,fail,1,400.0,100,1.68174,0.07,5.40667,4.0
214,fail,2,724.0,100,1.69591,0.0663,5.66621,7.24
214,fail,3,1126.0,100,1.73212,0.07815,5.69168,11.26
214,virtual,1,200.0,50,1.58951,0.03,5.39417,4.0
214,virtual,2,378.0,50,1.73813,0.07407,5.54982,7.56
214,virtual,3,568.0,50,1.7499,0.08627,5.70921,11.36
216,fail,1,400.0,100,1.73437,0.085,5.405,4.0
216,fail,2,732.0,100,1.72872,0.07787,5.66439,7.32
216,fail,3,1113.0,100,1.7266,0.07817,5.70904,11.13
216,virtual,1,200.0,50,1.70434,0.07,5.275,4.0
216,virtual,2,374.0,50,1.75111,0.07754,5.49866,7.48
216,virtual,3,561.0,50,1.67611,0.06239,5.67231,11.22
218,fail,1,400.0,100,1.69858,0.075,5.40333,4.0
218,fail,2,727.0,100,1.73192,0.07978,5.6763,7.27
218,fail,3,1111.0,100,1.6807,0.06481,5.72202,11.11
218,virtual,1,200.0,50,1.67221,0.065,5.21917,4.0
218,virtual,2,345.0,50,1.70687,0.07246,5.60145,6.9
218,virtual,3,526.0,50,1.69465,0.06844,5.70722,10.52
220,fail,1,400.0,100,1.65597,0.06,5.39042,4.0
220,fail,2,736.0,100,1.74059,0.08152,5.65987,7.36
220,fail,3,1087.0,100,1.75454,0.0874,5.75606,10.87
220,virtual,1,200.0,50,1.65688,0.05,5.3,4.0
220,virtual,2,381.0,50,1.83548,0.10761,5.58705,7.62
220,virtual,3,565.0,50,1.70714,0.0708,5.65841,11.3
222,fail,1,400.0,100,1.74471,0.0925,5.40375,4.0
222,fail,2,727.0,100,1.7199,0.07703,5.66529,7.27
222,fail,3,1100.0,100,1.74149,0.08545,5.73864,11.0
222,virtual,1,200.0,50,1.75113,0.08,5.20333,4.0
222,virtual,2,345.0,50,1.73249,0.08116,5.52029,6.9
222,virtual,3,538.0,50,1.69346,0.06691,5.63879,10.76
224,fail,1,400.0,100,1.73752,0.0875,5.41,4.0
224,fail,2,729.0,100,1.69277,0.06447,5.67924,7.29
224,fail,3,1113.0,100,1.72829,0.07817,5.7324,11.13
224,virtual,1,200.0,50,1.81823,0.115,5.225,4.0
224,virtual,2,343.0,50,1.74364,0.08163,5.6312,6.86
224,virtual,3,521.0,50,1.76949,0.09405,5.68522,10.42
226,fail,1,400.0,100,1.6481,0.06,5.39375,4.0
226,fail,2,727.0,100,1.7785,0.09491,5.67996,7.27
226,fail,3,1100.0,100,1.72721,0.07727,5.74379,11.0
226,virtual,1,200.0,50,1.7054,0.07,5.305,4.0
226,virtual,2,339.0,50,1.76586,0.09145,5.64208,6.78
226,virtual,3,552.0,50,1.77732,0.09239,5.77385,11.04
228,fail,1,400.0,100,1.73507,0.09,5.40375,4.0
228,fail,2,725.0,100,1.70217,0.06759,5.66184,7.25
228,fail,3,1112.0,100,1.74981,0.08543,5.72257,11.12
228,virtual,1,200.0,50,1.69123,0.065,5.295,4.0
228,virtual,2,376.0,50,1.7529,0.08511,5.45213,7.52
228,virtual,3,533.0,50,1.75213,0.08818,5.65041,10.66
230,fail,1,400.0,100,1.70341,0.075,5.41792,4.0
230,fail,2,722.0,100,1.79991,0.10111,5.68098,7.22
230,fail,3,1120.0,100,1.74583,0.08482,5.69301,11.2
230,virtual,1,200.0,50,1.74121,0.08,5.20417,4.0
230,virtual,2,373.0,50,1.69651,0.06434,5.4571,7.46
230,virtual,3,510.0,50,1.79105,0.10392,5.69444,10.2
232,fail,1,400.0,100,1.6559,0.06,5.40958,4.0
232,fail,2,735.0,100,1.7477,0.08435,5.64036,7.35
232,fail,3,1116.0,100,1.74586,0.08423,5.73103,11.16
232,virtual,1,200.0,50,1.75551,0.085,5.2975,4.0
232,virtual,2,369.0,50,1.72701,0.07859,5.49639,7.38
232,virtual,3,544.0,50,1.75136,0.0864,5.54075,10.88
234,fail,1,400.0,100,1.67218,0.07,5.41375,4.0
234,fail,2,725.0,100,1.7314,0.07862,5.66805,7.25
234,fail,3,1119.0,100,1.74784,0.0849,5.7398,11.19
234,virtual,1,200.0,50,1.72332,0.075,5.28833,4.0
234,virtual,2,385.0,50,1.77588,0.08831,5.46537,7.7
234,virtual,3,558.0,50,1.72435,0.07706,5.64665,11.16
236,fail,1,400.0,100,1.63589,0.055,5.40208,4.0
236,fail,2,728.0,100,1.73963,0.08379,5.66003,7.28
236,fail,3,1109.0,100,1.72012,0.07665,5.74271,11.09
236,virtual,1,200.0,50,1.76334,0.09,5.31667,4.0
236,virtual,2,363.0,50,1.7206,0.08264,5.53489,7.26
236,virtual,3,531.0,50,1.74647,0.08098,5.70308,10.62
238,fail,1,400.0,100,1.665,0.065,5.41625,4.0
238,fail,2,729.0,100,1.73569,0.07819,5.65158,7.29
238,fail,3,1114.0,100,1.70492,0.07181,5.73818,11.14
238,virtual,1,200.0,50,1.73467,0.075,5.2425,4.0
238,virtual,2,342.0,50,1.73971,0.08187,5.5463,6.84
238,virtual,3,548.0,50,1.76341,0.08942,5.59763,10.96
240,fail,1,400.0,100,1.66659,0.0625,5.4175,4.0
240,fail,2,730.0,100,1.77592,0.09452,5.65868,7.3
240,fail,3,1128.0,100,1.73114,0.08067,5.73094,11.28
240,virtual,1,200.0,50,1.79888,0.105,5.195,4.0
240,virtual,2,338.0,50,1.77424,0.09467,5.57742,6.76
240,virtual,3,492.0,50,1.69042,0.06301,5.79878,9.84
242,fail,1,400.0,100,1.67893,0.0725,5.40417,4.0
242,fail,2,732.0,100,1.754,0.0847,5.63752,7.32
242,fail,3,1122.0,100,1.74663,0.08645,5.73069,11.22
242,virtual,1,200.0,50,1.81677,0.11,5.24583,4.0
242,virtual,2,359.0,50,1.71289,0.07242,5.57985,7.18
242,virtual,3,555.0,50,1.73918,0.08468,5.63544,11.1
244,fail,1,400.0,100,1.67349,0.0675,5.41417,4.0
244,fail,2,732.0,100,1.76133,0.09016,5.64162,7.32
244,fail,3,1120.0,100,1.7385,0.08393,5.71875,11.2
244,virtual,1,200.0,50,1.77396,0.095,5.3425,4.0
244,virtual,2,367.0,50,1.69763,0.07084,5.60127,7.34
244,virtual,3,572.0,50,1.76211,0.08916,5.65676,11.44
246,fail,1,400.0,100,1.74521,0.0925,5.40708,4.0
246,fail,2,726.0,100,1.67915,0.06336,5.65174,7.26
246,fail,3,1132.0,100,1.72017,0.07774,5.71246,11.32
246,virtual,1,200.0,50,1.73613,0.08,5.225,4.0
246,virtual,2,371.0,50,1.86026,0.12399,5.44654,7.42
246,virtual,3,531.0,50,1.67883,0.06403,5.70935,10.62
248,fail,1,400.0,100,1.62897,0.055,5.42917,4.0
248,fail,2,729.0,100,1.73232,0.08093,5.64335,7.29
248,fail,3,1126.0,100,1.70456,0.07105,5.71892,11.26
248,virtual,1,200.0,50,1.66073,0.055,5.33917,4.0
248,virtual,2,375.0,50,1.73745,0.08533,5.56267,7.5
248,virtual,3,553.0,50,1.76962,0.09222,5.7836,11.06
250,fail,1,400.0,100,1.6567,0.06,5.41583,4.0
250,fail,2,727.0,100,1.74441,0.08253,5.65245,7.27
250,fail,3,1123.0,100,1.6565,0.05521,5.7057,11.23
250,virtual,1,200.0,50,1.80994,0.105,5.34917,4.0
250,virtual,2,344.0,50,1.74307,0.0843,5.6594,6.88
250,virtual,3,542.0,50,1.74636,0.08672,5.7254,10.84
252,fail,1,400.0,100,1.60667,0.0475,5.4025,4.0
252,fail,2,727.0,100,1.81584,0.10591,5.65291,7.27
252,fail,3,1115.0,100,1.7357,0.08161,5.7145,11.15
252,virtual,1,200.0,50,1.69966,0.07,5.29083,4.0
252,virtual,2,357.0,50,1.73081,0.07843,5.61204,7.14
252,virtual,3,563.0,50,1.7685,0.09059,5.66459,11.26
254,fail,1,400.0,100,1.66928,0.065,5.36833,4.0
254,fail,2,732.0,100,1.72574,0.07377,5.64617,7.32
254,fail,3,1107.0,100,1.6968,0.06865,5.74089,11.07
254,virtual,1,200.0,50,1.67951,0.06,5.4025,4.0
254,virtual,2,382.0,50,1.7438,0.08639,5.65096,7.64
254,virtual,3,581.0,50,1.71448,0.07401,5.79662,11.62
256,fail,1,400.0,100,1.70027,0.075,5.38125,4.0
256,fail,2,732.0,100,1.78113,0.09426,5.65414,7.32
256,fail,3,1119.0,100,1.71321,0.07507,5.71031,11.19
256,virtual,1,200.0,50,1.75929,0.085,5.21833,4.0
256,virtual,2,356.0,50,1.68765,0.06742,5.53511,7.12
256,virtual,3,509.0,50,1.75622,0.08448,5.76752,10.18
258,fail,1,400.0,100,1.63466,0.0525,5.40875,4.0
258,fail,2,725.0,100,1.73008,0.07862,5.68161,7.25
258,fail,3,1138.0,100,1.71141,0.07645,5.70372,11.38
258,virtual,1,200.0,50,1.79235,0.1,5.2425,4.0
258,virtual,2,348.0,50,1.74229,0.08621,5.63506,6.96
258,virtual,3,523.0,50,1.71599,0.07457,5.66507,10.46
260,fail,1,400.0,100,1.65872,0.065,5.40917,4.0
260,fail,2,725.0,100,1.7877,0.09931,5.65494,7.25
260,fail,3,1132.0,100,1.74379,0.08304,5.68713,11.32
260,virtual,1,200.0,50,1.73075,0.08,5.21833,4.0
260,virtual,2,347.0,50,1.74592,0.08934,5.6537,6.94
260,virtual,3,525.0,50,1.78687,0.10095,5.73524,10.5
262,fail,1,400.0,100,1.62939,0.0525,5.39292,4.0
262,fail,2,725.0,100,1.74673,0.08138,5.6331,7.25
262,fail,3,1123.0,100,1.71428,0.0748,5.70941,11.23
262,virtual,1,200.0,50,1.72169,0.08,5.335,4.0
262,virtual,2,345.0,50,1.76889,0.09275,5.64348,6.9
262,virtual,3,563.0,50,1.76299,0.08881,5.71018,11.26
264,fail,1,400.0,100,1.70221,0.075,5.41458,4.0
264,fail,2,734.0,100,1.71117,0.07084,5.64169,7.34
