sweep,kind,shell,n_cells,n_anchors,mean_E,coll,mean_q,shell_n
202,closed,1,400.0,100,1.75588,0.09,5.27917,4.0
202,closed,2,738.0,100,1.72667,0.07588,5.53794,7.38
202,closed,3,1125.0,100,1.72095,0.07467,5.66489,11.25
202,virtual,1,200.0,50,1.70533,0.07,5.23333,4.0
202,virtual,2,367.0,50,1.77999,0.10354,5.53769,7.34
202,virtual,3,536.0,50,1.69034,0.06716,5.77052,10.72
204,closed,1,400.0,100,1.76746,0.0925,5.27458,4.0
204,closed,2,733.0,100,1.78271,0.09686,5.53752,7.33
204,closed,3,1119.0,100,1.68866,0.06256,5.67769,11.19
204,virtual,1,200.0,50,1.77217,0.095,5.51833,4.0
204,virtual,2,351.0,50,1.63586,0.04843,5.83618,7.02
204,virtual,3,597.0,50,1.70293,0.07035,5.68844,11.94
206,closed,1,400.0,100,1.75042,0.0875,5.28292,4.0
206,closed,2,732.0,100,1.73649,0.08333,5.52186,7.32
206,closed,3,1133.0,100,1.70187,0.07061,5.63725,11.33
206,virtual,1,200.0,50,1.67689,0.065,5.39083,4.0
206,virtual,2,375.0,50,1.66832,0.05867,5.65556,7.5
206,virtual,3,566.0,50,1.74862,0.08834,5.73233,11.32
208,closed,1,400.0,100,1.67839,0.0625,5.26167,4.0
208,closed,2,742.0,100,1.74155,0.08356,5.50719,7.42
208,closed,3,1101.0,100,1.71441,0.07448,5.66167,11.01
208,virtual,1,200.0,50,1.69534,0.06,5.40083,4.0
208,virtual,2,348.0,50,1.76785,0.08621,5.69923,6.96
208,virtual,3,553.0,50,1.6831,0.05967,5.76823,11.06
210,closed,1,400.0,100,1.78495,0.0975,5.27542,4.0
210,closed,2,727.0,100,1.71308,0.07428,5.54608,7.27
210,closed,3,1116.0,100,1.77713,0.09767,5.66577,11.16
210,virtual,1,200.0,50,1.8779,0.125,5.30333,4.0
210,virtual,2,359.0,50,1.69569,0.06407,5.60167,7.18
210,virtual,3,520.0,50,1.74453,0.08077,5.71923,10.4
212,closed,1,400.0,100,1.67953,0.065,5.27875,4.0
212,closed,2,731.0,100,1.75254,0.08755,5.54537,7.31
212,closed,3,1111.0,100,1.70503,0.07471,5.66067,11.11
212,virtual,1,200.0,50,1.78332,0.095,5.33667,4.0
212,virtual,2,382.0,50,1.76057,0.08639,5.58377,7.64
212,virtual,3,572.0,50,1.69552,0.06643,5.74213,11.44
214,closed,1,400.0,100,1.72657,0.08,5.27792,4.0
214,closed,2,743.0,100,1.73675,0.0821,5.5341,7.43
214,closed,3,1101.0,100,1.73983,0.08265,5.6812,11.01
214,virtual,1,200.0,50,1.81438,0.11,5.37417,4.0
214,virtual,2,361.0,50,1.67335,0.06094,5.49584,7.22
214,virtual,3,537.0,50,1.70529,0.07076,5.67629,10.74
216,closed,1,400.0,100,1.68619,0.0675,5.29625,4.0
216,closed,2,748.0,100,1.71336,0.06952,5.54011,7.48
216,closed,3,1117.0,100,1.75618,0.08863,5.68815,11.17
216,virtual,1,200.0,50,1.67928,0.065,5.18833,4.0
216,virtual,2,340.0,50,1.63282,0.04706,5.65588,6.8
216,virtual,3,500.0,50,1.70759,0.072,5.73367,10.0
218,closed,1,400.0,100,1.75315,0.0875,5.30167,4.0
218,closed,2,743.0,100,1.74284,0.08075,5.5397,7.43
218,closed,3,1125.0,100,1.70841,0.07378,5.67778,11.25
218,virtual,1,200.0,50,1.71811,0.075,5.19417,4.0
218,virtual,2,373.0,50,1.76063,0.08847,5.5134,7.46
218,virtual,3,486.0,50,1.72669,0.07613,5.71365,9.72
220,closed,1,400.0,100,1.68401,0.065,5.27833,4.0
220,closed,2,746.0,100,1.72198,0.07507,5.52525,7.46
220,closed,3,1105.0,100,1.70821,0.07511,5.68039,11.05
220,virtual,1,200.0,50,1.65317,0.055,5.4125,4.0
220,virtual,2,355.0,50,1.86874,0.12676,5.71596,7.1
220,virtual,3,555.0,50,1.75594,0.09009,5.82883,11.1
222,closed,1,400.0,100,1.72145,0.0775,5.29125,4.0
222,closed,2,741.0,100,1.74805,0.08502,5.54971,7.41
222,closed,3,1141.0,100,1.75066,0.08589,5.64242,11.41
222,virtual,1,200.0,50,1.77068,0.085,5.41083,4.0
222,virtual,2,372.0,50,1.69892,0.0672,5.63754,7.44
222,virtual,3,557.0,50,1.75063,0.08259,5.76182,11.14
224,closed,1,400.0,100,1.7063,0.0675,5.28708,4.0
224,closed,2,739.0,100,1.73445,0.07848,5.5424,7.39
224,closed,3,1120.0,100,1.73101,0.07946,5.65744,11.2
224,virtual,1,200.0,50,1.73447,0.075,5.25583,4.0
224,virtual,2,349.0,50,1.77593,0.09169,5.649,6.98
224,virtual,3,513.0,50,1.69877,0.07212,5.72904,10.26
226,closed,1,400.0,100,1.66624,0.0575,5.27917,4.0
226,closed,2,742.0,100,1.69552,0.06739,5.51752,7.42
226,closed,3,1107.0,100,1.72518,0.07588,5.69136,11.07
226,virtual,1,200.0,50,1.77048,0.095,5.28333,4.0
226,virtual,2,375.0,50,1.73826,0.08267,5.53822,7.5
226,virtual,3,550.0,50,1.72228,0.07818,5.76,11.0
228,closed,1,400.0,100,1.68366,0.065,5.30417,4.0
228,closed,2,737.0,100,1.75108,0.08955,5.55179,7.37
228,closed,3,1131.0,100,1.72104,0.07515,5.65709,11.31
228,virtual,1,200.0,50,1.76065,0.085,5.36917,4.0
228,virtual,2,367.0,50,1.75892,0.08992,5.65713,7.34
228,virtual,3,552.0,50,1.74334,0.08877,5.68388,11.04
230,closed,1,400.0,100,1.73231,0.0825,5.31458,4.0
230,closed,2,745.0,100,1.73796,0.08322,5.53669,7.45
230,closed,3,1150.0,100,1.67911,0.06174,5.63739,11.5
230,virtual,1,200.0,50,1.7128,0.07,5.23333,4.0
230,virtual,2,363.0,50,1.75512,0.08815,5.59458,7.26
230,virtual,3,515.0,50,1.70604,0.06796,5.80356,10.3
232,closed,1,400.0,100,1.68945,0.07,5.31625,4.0
232,closed,2,751.0,100,1.7019,0.07057,5.53573,7.51
232,closed,3,1136.0,100,1.7248,0.07835,5.65346,11.36
232,virtual,1,200.0,50,1.85391,0.12,5.265,4.0
232,virtual,2,352.0,50,1.75327,0.08523,5.48106,7.04
232,virtual,3,532.0,50,1.70223,0.06767,5.5683,10.64
234,closed,1,400.0,100,1.70562,0.07,5.31625,4.0
234,closed,2,754.0,100,1.74995,0.08355,5.52851,7.54
234,closed,3,1135.0,100,1.72475,0.07665,5.65962,11.35
